ano,mes,Transacoes correntes,Receitas,Despesas
2000,Out,-3509.49,5803.91,9313.40
2000,Nov,-2576.36,5505.77,8082.13
2000,Dez,-2967.60,6025.43,8993.03
2001,Jan,-2347.07,5853.36,8200.43
2001,Fev,-1784.16,5182.78,6966.94
2001,Mar,-2643.57,6525.04,9168.62
2001,Abr,-2413.53,6127.55,8541.09
2001,Mai,-2259.56,6461.86,8721.43
2001,Jun,-2163.42,6261.70,8425.12
2001,Jul,-2073.18,6048.49,8121.67
2001,Ago,-1183.09,6861.32,8044.41
2001,Set,-945.21,5794.81,6740.02
2001,Out,-2481.54,6134.56,8616.10
2001,Nov,-1581.58,5630.87,7212.46
2001,Dez,-1845.49,5830.40,7675.90
2002,Jan,-1210.95,5476.48,6687.43
2002,Fev,-1112.26,4796.51,5908.77
2002,Mar,-1041.96,5567.95,6609.91
2002,Abr,-2008.82,5788.95,7797.77
2002,Mai,-1942.21,5490.67,7432.88
2002,Jun,-1328.68,5163.34,6492.02
2002,Jul,-581.48,7676.95,8258.42
2002,Ago,274.88,7112.86,6837.98
2002,Set,1196.93,7682.15,6485.23
2002,Out,-56.39,7860.09,7916.47
2002,Nov,-174.46,6351.99,6526.44
2002,Dez,-111.41,6918.84,7030.24
2003,Jan,138.50,6247.02,6108.53
2003,Fev,-228.58,6396.57,6625.15
2003,Mar,153.13,6633.41,6480.28
2003,Abr,-965.22,6945.15,7910.37
2003,Mai,858.23,7651.85,6793.62
2003,Jun,435.12,7057.83,6622.71
2003,Jul,720.58,7646.86,6926.27
2003,Ago,1193.86,7838.22,6644.36
2003,Set,1283.90,8636.39,7352.49
2003,Out,39.03,9191.13,9152.10
2003,Nov,-176.21,7310.18,7486.39
2003,Dez,307.71,8417.82,8110.11
2004,Jan,649.94,7527.65,6877.71
2004,Fev,175.60,7102.86,6927.26
2004,Mar,736.53,9505.00,8768.46
2004,Abr,-777.37,8034.38,8811.75
2004,Mai,1436.96,9477.14,8040.18
2004,Jun,1993.87,10930.57,8936.70
2004,Jul,1771.43,10445.99,8674.56
2004,Ago,1718.55,10570.33,8851.78
2004,Set,1723.13,10347.27,8624.14
2004,Out,1008.17,10531.46,9523.28
2004,Nov,-243.64,9864.45,10108.09
2004,Dez,1153.59,11346.91,10193.32
2005,Jan,755.99,9215.33,8459.33
2005,Fev,107.14,9580.15,9473.01
2005,Mar,1715.91,11231.22,9515.31
2005,Abr,689.23,10847.20,10157.97
2005,Mai,499.66,11688.88,11189.22
2005,Jun,1245.71,11962.91,10717.19
2005,Jul,2505.90,12857.41,10351.51
2005,Ago,737.72,13209.17,12471.45
2005,Set,2313.59,12569.51,10255.91
2005,Out,815.02,11939.79,11124.76
2005,Nov,1659.52,12696.39,11036.87
2005,Dez,501.82,13409.05,12907.24
2006,Jan,-360.79,11568.30,11929.09
2006,Fev,584.80,10721.74,10136.94
2006,Mar,1263.39,14213.29,12949.90
2006,Abr,83.33,11999.02,11915.69
2006,Mai,340.99,13343.78,13002.79
2006,Jun,561.52,13999.83,13438.31
2006,Jul,3006.79,16023.99,13017.20
2006,Ago,2130.65,16189.49,14058.84
2006,Set,2196.41,15096.17,12899.75
2006,Out,1494.47,15093.20,13598.73
2006,Nov,1344.61,14592.36,13247.76
2006,Dez,383.76,15150.05,14766.30
2007,Jan,-430.85,14269.40,14700.25
2007,Fev,326.08,12687.44,12361.36
2007,Mar,185.50,15884.94,15699.44
2007,Abr,1744.20,15332.13,13587.93
2007,Mai,-217.11,17092.65,17309.76
2007,Jun,399.88,16071.76,15671.88
2007,Jul,-968.23,17404.82,18373.05
2007,Ago,1233.23,18601.23,17368.01
2007,Set,481.51,17423.68,16942.18
2007,Out,-216.48,19473.14,19689.62
2007,Nov,-1561.51,17479.64,19041.15
2007,Dez,-568.18,18743.11,19311.29
2008,Jan,-4714.24,17426.40,22140.64
2008,Fev,-1983.11,16266.54,18249.65
2008,Mar,-4401.70,16435.82,20837.52
2008,Abr,-3108.62,17837.77,20946.39
2008,Mai,-984.16,22770.27,23754.43
2008,Jun,-2856.23,22744.95,25601.18
2008,Jul,-3089.47,24783.54,27873.01
2008,Ago,-1210.99,23528.03,24739.02
2008,Set,-2796.36,23813.06,26609.43
2008,Out,-1232.86,23261.64,24494.50
2008,Nov,-1109.65,18158.52,19268.17
2008,Dez,-3153.05,18640.08,21793.13
2009,Jan,-3450.34,13454.83,16905.17
2009,Fev,-647.13,12703.87,13351.00
2009,Mar,-1562.46,15334.19,16896.65
2009,Abr,124.80,15460.08,15335.28
2009,Mai,-1886.24,14958.28,16844.52
2009,Jun,-605.63,17600.13,18205.77
2009,Jul,-2554.79,17694.05,20248.83
2009,Ago,-828.46,17072.02,17900.49
2009,Set,-2442.11,17183.11,19625.23
2009,Out,-3021.80,17565.45,20587.25
2009,Nov,-3447.28,15808.44,19255.72
2009,Dez,-5939.79,18981.33,24921.12
2010,Jan,-5975.62,16021.22,21996.84
2010,Fev,-4271.10,15839.43,20110.53
2010,Mar,-7330.52,19939.97,27270.49
2010,Abr,-6855.12,19171.83,26026.96
2010,Mai,-3989.31,21913.61,25902.92
2010,Jun,-6978.23,21014.54,27992.78
2010,Jul,-8168.90,21919.57,30088.47
2010,Ago,-5035.50,23457.89,28493.40
2010,Set,-6240.69,23080.97,29321.65
2010,Out,-6785.83,22789.61,29575.44
2010,Nov,-7621.86,22287.38,29909.24
2010,Dez,-6571.43,27021.78,33593.21
2011,Jan,-8445.11,20536.16,28981.28
2011,Fev,-4107.09,21922.86,26029.95
2011,Mar,-6763.14,24714.68,31477.81
2011,Abr,-4931.57,25327.73,30259.30
2011,Mai,-5996.38,28629.86,34626.23
2011,Jun,-5054.93,29138.12,34193.05
2011,Jul,-7946.60,27589.99,35536.60
2011,Ago,-7130.83,31271.32,38402.15
2011,Set,-4918.29,28708.07,33626.36
2011,Out,-4869.72,27048.97,31918.69
2011,Nov,-8640.82,27366.99,36007.80
2011,Dez,-8227.60,28024.35,36251.94
2012,Jan,-9448.69,20648.87,30097.56
